Ai là thủ_tướng Ấn_Độ hiện_tại	Thủ_tướng Ấn_Độ sắp sang Mỹ gặp ông Trump mua vũ_khí	false
Ai là thủ_tướng Ấn_Độ hiện_tại	Narendra_Damodardas_Modi ( tiếng Gujarat : નરેન્દ્ર દામોદરદાસ મોદી , [ nəreːnd̪rə d̪ɑːmoːd̪ərəd̪ɑːsə moːd̪iː ] ( nghe ) , tiếng Hindi : नरेन्द्र दामोदरदास मोदी , sinh ngày 17 tháng 9 năm 1950 ) là Thủ_tướng Ấn_Độ thứ 15 . Ông là thủ_lĩnh của đảng Bharatiya_Janata ( đảng Nhân_dân ) , từng giữ chức Thủ tịch bộ_trưởng Gujarat từ năm 2001 đến năm 2014 . Ông đại_diện cho Varanasi tại Lok_Sabha .	true
Ai là thủ_tướng Ấn_Độ hiện_tại	- Google hôm 3/6 đã xin_lỗi Thủ_tướng Ấn_Độ Narendra_Modi sau khi hình_ảnh của ông xuất_hiện trong kết_quả tìm_kiếm cho yêu_cầu “ 10 tội_phạm hàng_đầu ” .	true
Ai là thủ_tướng Ấn_Độ hiện_tại	thủ_tướng thăm Ấn_Độ Nguyễn_Xuân_Phúc_ASEAN thủ_tướng Ấn_Độ Nguyễn_Xuân_Phúc	false
Ai là thủ_tướng Ấn_Độ hiện_tại	Tin_tức về chủ_đề " Thủ_tướng Ấn_Độ Narendra_Modi "	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Ngày hôm_nay , trên các diễn_đàn tài_chính chứng_khoán xuất_hiện tin_đồn về ông Trần_Đình_Long - Chủ_tịch Tập_đoàn Hoà_Phát ( mã HPG ) đã " hạ_thế " vì đột_quỵ và thông_tin này chưa được công_bố .	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Chủ_tịch Tập_đoàn Hoà_Phát Trần_Đình Long ' hạ_thế ' là tin_đồn nhảm ! - Doanh_nghiệp - NDH.vn	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Ông Trần_Đình_Long , Chủ_tịch Tập_đoàn Hoà_Phát đã vượt nữ tỷ_phú Phương_Thảo để trở_thành người giàu thứ 3 trên sàn chứng_khoán Việt , với khối tài_sản xấp_xỉ 1 tỷ USD .	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Doanh_nhân Trần_Đình_Long , Chủ_tịch HĐQT Tập_đoàn Hoà_Phát : Thép vẫn là bánh mỳ của công_nghiệp	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Ông Trần_Đình_Long , Chủ_tịch Hội_đồng_Quản_trị Tập_đoàn Hoà_Phát ( mã chứng_khoán HPG ) đã trở_lại danh_sách tỷ_phú USD ...	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Từ năm 1992 đến năm 1996 , ông Long giữ vai_trò Chủ_tịch HĐTV Công_ty TNHH thiết_bị phụ_tùng Hoà_Phát . Năm 1996 , công_ty chuyển_hướng kinh_doanh thép , ông Long trở_thành Chủ_tịch HĐQT các công_ty thuộc nhóm Hoà_Phát . Từ năm 2005 đến nay , ông Long gắn_bó với chức_vụ Chủ_tịch HĐQT Công_ty cổ_phần Tập_đoàn Hoà_Phát .	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Doanh_thu hàng năm của Tập_đoàn Hoà_Phát đạt khoảng 900 triệu USD . [ cần dẫn nguồn ] Chủ_tịch Hội_đồng_Quản_trị Tập_đoàn hiện_nay là ông Trần_Đình_Long . [ cần dẫn nguồn ]	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Chia_sẻ với VnExpress sau khi được Forbes công_nhận là tỷ_phú USD với 1,3 tỷ USD tài_sản , ông Trần_Đình_Long - Chủ_tịch HĐQT Tập_đoàn Hoà_Phát , thú_nhận đã lâu không làm_việc để vì mục_tiêu kiếm một con_số cụ_thể bao_nhiêu tiền trong ngày .	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	“ Vài năm nay , mọi người nhìn thép rất xấu , nhưng thép vẫn được coi là bánh_mì của công_nghiệp và tại những nước công_nghiệp_hoá mới như chúng_ta , nhu_cầu thép vẫn còn tăng ” , đó là chia_sẻ chân_tình của ông Trần_Đình_Long , Chủ_tịch HĐQT Tập_đoàn Hoà_Phát khi nói về những mối quan_tâm của dư_luận thời_gian gần đây trước những biến_động lớn trong ngành thép lẫn tương_lai của ngành này tại Việt_Nam .	true
Ai là chủ_tịch tập_đoàn Hoà_Phát	Doanh_nhân , CT HĐQT tập_đoàn Hoà_Phát Trần_Đình Long	true
Bài kiểm_tra IQ đầu_tiên do ai phát_triển ?	Bài kiểm_tra đầu_tiên do nhà tâm_lý_học Pháp Alfred_Binet nghiên_cứu phát_triển , dưới yêu_cầu của chính_phủ Pháp để tìm ra những học_sinh sẽ gặp phải nhiều khó_khăn nhất khi theo học tại trường . Kết_quả của nghiên_cứu này đã tạo nên thang Binet-Simon vào năm 1905 , và đến nay thang này vẫn được coi là nền_tảng của những bài kiểm_tra IQ hiện_đại . Tuy_nhiên chính bản_thân Binet lại cho rằng , những bài kiểm_tra IQ không có đủ khả_năng để đánh_giá trí thông_minh của con_người - khi đã bỏ_qua kỹ_năng sáng_tạo hay trí_tuệ cảm_xúc .	false
Bài kiểm_tra IQ đầu_tiên do ai phát_triển ?	Lần đầu_tiên , chỉ_số IQ được sử_dụng ở Pháp vào đầu thế_kỷ 20 khi người ta muốn khắc_phục những khó_khăn của trẻ lúc bắt_đầu đi học . Tiếp đó , bài kiểm_tra trắc_nghiệm IQ được coi là hoàn_chỉnh nhất của chuyên_gia Hans_Aizenk . Bài trắc_nghiệm trở_nên vô_cùng phổ_biến tại châu_Âu trong những năm 1950 .	false
